timestamp,cpu_load,sys_ram,sys_sd,sys_volt,sys_curr,sys_pwr,sys_vbat,mcu_temp,gyro_temp,bat_v0,bat_i0,bat_ich0,bat_t0,bat_soc0,bat_v1,bat_i1,bat_ich1,bat_t1,bat_soc1,esc_i,serv_i1,serv_i2,eular_x,eular_y,eular_z,pressure,humidity,air_temp,servo1_ang,servo2_ang,esc_thr,gnss_lat,gnss_lon,gnss_speed,gnss_alt,gnss_course,gnss_sat
1646585611,0.00,18.829,0.119,2.503,0.1477,1.1836,2.9817,24.1,19.000,8.0383,-0.0812,0.0006,0.0000,0.0000,7.9768,-0.0652,0.0008,0.0000,0.0000,-0.0016,0.0174,0.0181,6.12,2.58,-111.52,102365.40,31.27,21.814,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585612,0.00,18.829,0.119,2.502,0.1005,0.8053,2.9821,24.1,19.000,8.0412,-0.0572,0.0003,0.0000,0.0000,7.9793,-0.0430,0.0000,0.0000,0.0000,-0.0013,0.0176,0.0178,6.16,2.46,-111.55,102371.20,31.18,21.816,-2.9,-2.9,0,0.000000,0.000000,0.00,nan,0.0,0
1646585613,0.00,18.829,0.119,2.502,0.1869,1.4944,2.9834,23.9,19.000,8.0352,-0.0919,-0.0002,0.0000,0.0000,7.9778,-0.0952,-0.0000,0.0000,0.0000,0.0078,0.0076,0.1581,6.16,2.57,-111.46,102365.44,31.11,21.798,-20.0,-20.0,9,0.000000,0.000000,0.00,nan,0.0,0
1646585614,0.00,18.829,0.119,2.502,0.3254,2.6029,2.9827,24.1,19.000,8.0326,-0.2025,-0.0005,0.0000,0.0000,7.9737,-0.1230,0.0004,0.0000,0.0000,0.0220,0.0032,0.2715,6.06,2.68,-111.32,102369.18,31.06,21.801,-0.8,-0.8,1,0.000000,0.000000,0.00,nan,0.0,0
1646585615,0.00,18.829,0.119,2.502,0.4396,3.5127,2.9818,24.0,18.875,8.0274,-0.2806,-0.0004,0.0000,0.0000,7.9712,-0.1581,0.0012,0.0000,0.0000,0.0171,0.0016,0.5310,6.16,2.46,-111.10,102363.77,30.97,21.784,30.0,30.0,1,0.000000,0.000000,0.00,nan,0.0,0
1646585616,0.00,18.829,0.119,2.502,0.6363,5.0776,2.9820,24.0,18.875,8.0214,-0.4072,-0.0014,0.0000,0.0000,7.9661,-0.2295,0.0011,0.0000,0.0000,0.0371,0.0016,0.9768,6.21,2.49,-111.11,102364.16,30.88,21.792,30.0,30.0,-11,0.000000,0.000000,0.00,nan,0.0,0
1646585617,0.00,18.829,0.119,2.501,0.6229,4.9709,2.9826,23.9,18.875,8.0198,-0.4266,-0.0009,0.0000,0.0000,7.9636,-0.1966,0.0006,0.0000,0.0000,0.0496,0.0009,1.1584,6.11,2.67,-111.07,102368.66,30.83,21.785,0.0,0.0,-9,0.000000,0.000000,0.00,nan,0.0,0
1646585618,0.00,18.829,0.119,2.502,0.3149,2.5160,2.9825,23.7,19.000,8.0323,-0.2099,-0.0008,0.0000,0.0000,7.9734,-0.1049,0.0009,0.0000,0.0000,0.0201,0.0004,0.4704,5.01,2.45,-111.19,102365.07,30.72,21.782,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585619,0.00,18.829,0.119,2.503,0.1691,1.3523,2.9827,23.6,18.875,8.0371,-0.1066,0.0000,0.0000,0.0000,7.9756,-0.0620,0.0006,0.0000,0.0000,0.0087,0.0674,0.1913,5.07,2.11,-111.25,102361.74,30.68,21.777,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585621,0.00,18.829,0.119,2.501,0.1432,1.1461,2.9827,23.8,18.875,8.0373,-0.0837,0.0004,0.0000,0.0000,7.9793,-0.0580,0.0011,0.0000,0.0000,0.0086,0.0372,0.0821,4.96,2.20,-111.29,102367.55,30.56,21.783,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
